transaction_id,account_id,transaction_amount,transaction_frequency,merchant_category,location,time_pattern,is_night_transaction,is_weekend,account_age_days,avg_monthly_income,debt_to_income,interest_rate,credit_utilization,failed_login_attempts,device_risk_score,is_risk
TXN_10056,ACC_774,29.81,2,Grocery,Domestic,20,0,0,3106,5084.66,0.45,12.8,0.12,0,0.03,0
TXN_10057,ACC_417,92.13,8,Grocery,Domestic,0,1,1,3177,5994.86,0.32,8.98,0.35,0,0.05,0
TXN_10058,ACC_524,3848.53,23,Wire_Transfer,Domestic,22,0,0,1029,4004.43,0.6,11.82,0.66,4,0.85,1
TXN_10059,ACC_251,98.93,4,Electronics,Domestic,3,1,0,2880,6898.12,0.21,4.33,0.43,0,0.34,0
TXN_10060,ACC_151,120.76,8,Electronics,Online_Unverified,3,1,0,2319,5299.57,0.29,12.04,0.39,0,0.38,0
TXN_10061,ACC_873,2645.35,21,Wire_Transfer,International_LowRisk,23,1,0,1856,7061.98,0.6,4.89,0.96,5,0.81,1
TXN_10062,ACC_262,61.1,5,Luxury_Goods,Domestic,8,0,0,2165,5254.6,0.44,7.52,0.11,0,0.34,0
TXN_10063,ACC_344,30.09,6,Grocery,Domestic,9,0,1,2242,8125.72,0.46,7.53,0.41,0,0.28,0
TXN_10064,ACC_254,38.44,7,Grocery,International_LowRisk,22,0,1,2252,7759.26,0.5,9.16,0.5,0,0.3,0
TXN_10065,ACC_163,70.83,1,Grocery,Domestic,18,0,0,3165,6064.64,0.48,13.39,0.27,1,0.31,0
TXN_10066,ACC_588,183.56,7,Grocery,Domestic,12,0,0,3039,8697.55,0.33,14.33,0.55,0,0.05,0
TXN_10067,ACC_717,1850.07,8,Wire_Transfer,Domestic,8,0,0,1406,7148.33,0.45,15.88,0.78,4,0.95,1
TXN_10068,ACC_784,117.24,3,Electronics,Domestic,5,1,0,2217,6239.71,0.25,8.11,0.32,2,0.26,0
TXN_10069,ACC_503,148.96,3,Electronics,International_LowRisk,2,1,0,774,6475.51,0.43,4.72,0.5,1,0.3,0
TXN_10070,ACC_488,110.7,7,Grocery,Domestic,10,0,0,3437,4705.49,0.27,5.46,0.54,0,0.18,0
TXN_10071,ACC_954,33.52,6,Grocery,Domestic,17,0,1,311,6989.93,0.19,4.91,0.41,0,0.31,0
TXN_10072,ACC_767,222.02,1,Grocery,Domestic,7,0,1,1007,5486.11,0.18,16.33,0.14,0,0.29,0
TXN_10073,ACC_785,71.26,6,Grocery,Online_Unverified,14,0,0,2517,5063.11,0.48,13.71,0.51,0,0.15,0
TXN_10074,ACC_835,3360.76,8,Grocery,International_HighRisk,9,0,1,2388,6073.11,0.49,10.16,0.95,3,0.77,1
TXN_10075,ACC_793,539.97,26,Gambling,Domestic,22,0,1,3432,7145.44,0.5,13.33,0.67,6,0.78,1
TXN_10076,ACC_742,120.07,2,Grocery,International_LowRisk,9,0,0,2348,4845.54,0.25,14.86,0.29,0,0.39,0
TXN_10077,ACC_455,45.37,6,Utilities,International_LowRisk,2,1,0,1750,6948.18,0.49,4.92,0.11,0,0.39,0
TXN_10078,ACC_208,111.85,7,Utilities,Domestic,14,0,0,2167,6525.18,0.37,12.7,0.36,0,0.39,0
TXN_10079,ACC_376,87.74,5,Electronics,Online_Unverified,15,0,0,1035,10879.61,0.47,7.47,0.39,0,0.25,0
TXN_10080,ACC_188,40.01,7,Grocery,Domestic,14,0,0,2054,4883.4,0.35,4.97,0.28,0,0.19,0
TXN_10081,ACC_286,454.8,5,Utilities,Domestic,8,0,0,2146,8400.85,0.34,12.56,0.45,0,0.39,0
TXN_10082,ACC_187,36.3,8,Grocery,Domestic,17,0,0,2040,5346.19,0.48,13.07,0.51,0,0.37,0
TXN_10083,ACC_117,129.05,6,Grocery,Domestic,22,0,1,2204,8858.88,0.45,16.34,0.57,0,0.17,0
TXN_10084,ACC_863,34.56,5,Electronics,Domestic,14,0,1,2984,5561.65,0.49,14.53,0.29,0,0.24,0
TXN_10085,ACC_222,233.66,4,Luxury_Goods,Online_Unverified,22,0,1,1162,6510.49,0.25,13.61,0.31,0,0.19,0
TXN_10086,ACC_878,362.54,5,Utilities,Domestic,3,1,0,764,6593.96,0.31,5.61,0.22,0,0.34,0
TXN_10087,ACC_825,384.63,3,Utilities,Domestic,1,1,0,3113,3431.77,0.39,5.42,0.21,0,0.25,0
TXN_10088,ACC_993,148.61,3,Grocery,Domestic,15,0,0,1064,9055.35,0.33,14.65,0.49,2,0.21,0
TXN_10089,ACC_589,111.33,1,Grocery,Domestic,15,0,1,3352,7790.75,0.29,12.8,0.54,0,0.23,0
TXN_10090,ACC_411,43.74,4,Grocery,Domestic,17,0,0,1588,9237.26,0.27,11.37,0.11,0,0.06,0
TXN_10091,ACC_553,74.76,1,Grocery,Domestic,13,0,0,3061,9504.71,0.27,8.96,0.55,0,0.18,0
TXN_10092,ACC_881,131.77,4,Grocery,Domestic,21,0,1,337,6648.19,0.2,15.58,0.57,0,0.35,0
TXN_10093,ACC_518,96.3,5,Utilities,Domestic,9,0,1,2909,2365.12,0.49,11.92,0.33,0,0.11,0
TXN_10094,ACC_172,47.96,4,Electronics,Online_Unverified,20,0,0,2260,6321.76,0.19,5.9,0.16,0,0.04,0
TXN_10095,ACC_252,1023.11,33,Gambling,International_HighRisk,2,1,1,2467,6374.64,0.59,12.34,0.71,3,0.85,1
TXN_10096,ACC_866,1161.95,30,Crypto_Exchange,Online_Unverified,14,0,1,2896,8410.28,0.52,7.48,0.66,3,0.67,1
TXN_10097,ACC_512,1181.84,27,Gambling,Domestic,15,0,0,1799,5392.7,0.63,10.29,0.69,1,0.63,1
TXN_10098,ACC_852,155.69,1,Grocery,Domestic,2,1,1,2783,4104.24,0.37,5.02,0.5,2,0.03,0
TXN_10099,ACC_690,263.18,8,Grocery,International_LowRisk,15,0,0,773,7728.33,0.25,6.31,0.13,1,0.37,0
TXN_10100,ACC_546,43.19,7,Electronics,Domestic,2,1,0,2774,8015.02,0.37,8.61,0.34,0,0.15,0
TXN_10101,ACC_264,89.51,7,Grocery,International_LowRisk,9,0,0,2283,7653.11,0.24,10.4,0.12,0,0.3,0
TXN_10102,ACC_190,106.14,1,Grocery,Domestic,12,0,0,2252,7122.5,0.34,7.03,0.32,0,0.05,0
TXN_10103,ACC_155,52.64,1,Grocery,Domestic,15,0,0,2279,5206.85,0.26,5.5,0.11,0,0.16,0
TXN_10104,ACC_394,280.45,4,Utilities,International_LowRisk,3,1,1,1302,4336.9,0.43,10.23,0.44,0,0.24,0
TXN_10105,ACC_665,25.91,2,Utilities,Domestic,3,1,0,660,4425.51,0.41,7.55,0.39,0,0.22,0
TXN_10106,ACC_833,69.13,8,Grocery,International_LowRisk,13,0,0,2287,6119.32,0.27,16.33,0.39,0,0.26,0
TXN_10107,ACC_295,3757.92,16,Gambling,Domestic,4,1,0,1422,5198.71,0.51,6.33,0.68,4,0.69,1
TXN_10108,ACC_906,1674.62,34,Utilities,International_HighRisk,9,0,0,2405,5525.75,0.48,10.56,0.95,5,0.67,1
TXN_10109,ACC_775,78.4,6,Utilities,Domestic,17,0,0,2255,5346.46,0.29,6.14,0.16,0,0.39,0
TXN_10110,ACC_429,4365.96,15,Wire_Transfer,Online_Unverified,7,0,0,208,8010.78,0.68,7.5,0.83,4,0.96,1
TXN_10111,ACC_425,191.1,3,Luxury_Goods,International_LowRisk,12,0,0,181,3244.92,0.3,5.44,0.26,0,0.08,0
TXN_10112,ACC_704,128.18,8,Grocery,Domestic,14,0,1,620,6596.17,0.2,10.01,0.39,0,0.12,0
TXN_10113,ACC_770,106.27,7,Travel,Domestic,8,0,0,3518,8512.59,0.2,7.18,0.27,0,0.03,0
TXN_10114,ACC_790,4504.49,32,Wire_Transfer,Domestic,10,0,0,3603,5346.22,0.64,9.15,0.85,4,0.9,1
TXN_10115,ACC_654,66.49,5,Grocery,Domestic,20,0,0,3088,7242.29,0.49,15.73,0.52,2,0.37,0
TXN_10116,ACC_200,38.99,5,Luxury_Goods,International_LowRisk,3,1,0,218,5292.03,0.35,14.52,0.47,1,0.04,0
TXN_10117,ACC_157,33.07,7,Grocery,Domestic,4,1,1,3276,7288.9,0.21,12.31,0.2,0,0.32,0
TXN_10118,ACC_279,3091.32,23,Grocery,International_HighRisk,19,0,0,616,5658.03,0.61,14.21,0.94,5,0.74,1
TXN_10119,ACC_337,84.39,8,Utilities,Domestic,8,0,0,2805,6536.84,0.26,6.9,0.33,1,0.16,0
TXN_10120,ACC_175,290.8,7,Utilities,Domestic,18,0,0,1901,9852.87,0.47,11.8,0.37,0,0.16,0
TXN_10121,ACC_303,935.1,26,Travel,International_HighRisk,3,1,1,2384,7176.99,0.58,11.75,0.86,3,0.97,1
TXN_10122,ACC_402,106.49,1,Travel,Domestic,21,0,0,2839,5669.42,0.2,7.9,0.49,0,0.36,0
TXN_10123,ACC_150,1499.84,15,Gambling,International_LowRisk,9,0,0,3314,7457.96,0.68,8.28,0.66,5,0.89,1
TXN_10124,ACC_460,221.62,3,Grocery,Domestic,8,0,0,2600,7167.32,0.19,8.97,0.52,0,0.05,0
TXN_10125,ACC_416,206.52,2,Luxury_Goods,Domestic,11,0,0,1368,8239.21,0.4,12.67,0.21,1,0.07,0
TXN_10126,ACC_279,108.9,5,Grocery,International_LowRisk,11,0,0,1082,9211.28,0.21,15.36,0.27,0,0.11,0
TXN_10127,ACC_593,120.07,8,Travel,Domestic,10,0,0,606,7059.94,0.48,10.32,0.33,2,0.17,0
TXN_10128,ACC_331,3808.71,33,Wire_Transfer,International_LowRisk,12,0,0,1528,4249.02,0.82,11.06,0.94,5,0.61,1
TXN_10129,ACC_192,158.14,6,Luxury_Goods,Domestic,17,0,1,2783,10264.05,0.2,9.3,0.45,0,0.37,0
TXN_10130,ACC_490,5167.22,23,Crypto_Exchange,Online_Unverified,3,1,0,2567,9190.84,0.63,5.42,0.96,1,0.96,1
TXN_10131,ACC_674,517.7,8,Grocery,International_LowRisk,20,0,1,1267,6611.45,0.47,11.39,0.16,1,0.34,0
TXN_10132,ACC_219,76.1,2,Grocery,Online_Unverified,9,0,0,2231,8688.38,0.43,4.06,0.27,0,0.03,0
TXN_10133,ACC_564,63.69,7,Utilities,Online_Unverified,22,0,0,3006,3920.08,0.47,13.22,0.37,0,0.17,0
TXN_10134,ACC_524,2606.57,16,Electronics,International_HighRisk,19,0,0,2857,3909.84,0.51,6.2,0.8,1,0.69,1
TXN_10135,ACC_479,97.79,2,Grocery,Domestic,7,0,0,1534,10197.91,0.28,4.16,0.56,2,0.17,0
TXN_10136,ACC_760,145.71,8,Utilities,Domestic,6,0,0,898,8753.13,0.2,9.18,0.58,0,0.08,0
TXN_10137,ACC_711,25.71,3,Travel,Domestic,10,0,1,870,6527.86,0.36,6.62,0.35,0,0.4,0
TXN_10138,ACC_883,289.0,3,Electronics,Domestic,7,0,0,2471,6451.75,0.16,9.9,0.2,0,0.09,1
TXN_10139,ACC_979,114.85,3,Travel,Online_Unverified,17,0,1,3578,1500.0,0.31,9.01,0.49,0,0.04,0
TXN_10140,ACC_115,113.42,3,Utilities,International_LowRisk,18,0,0,549,8683.01,0.45,15.83,0.19,0,0.07,0
TXN_10141,ACC_638,71.08,2,Grocery,Domestic,14,0,0,937,8371.36,0.29,4.34,0.42,0,0.12,0
TXN_10142,ACC_144,45.12,8,Luxury_Goods,Online_Unverified,21,0,0,157,9043.11,0.16,5.3,0.44,0,0.1,0
TXN_10143,ACC_590,6131.56,22,Crypto_Exchange,Domestic,3,1,0,360,6019.35,0.55,13.03,0.87,1,0.67,1
TXN_10144,ACC_429,247.3,6,Electronics,Domestic,8,0,0,2476,5750.36,0.38,6.56,0.3,0,0.33,0
TXN_10145,ACC_564,56.63,4,Utilities,Domestic,22,0,1,965,7152.27,0.18,9.27,0.11,0,0.36,0
TXN_10146,ACC_947,282.82,6,Utilities,Domestic,3,1,0,1563,3997.77,0.24,8.75,0.27,0,0.33,0
TXN_10147,ACC_803,3623.11,11,Gambling,Domestic,2,1,1,3056,2336.14,0.61,7.68,0.86,6,0.7,1
TXN_10148,ACC_481,10878.44,25,Crypto_Exchange,Domestic,18,0,0,2774,9892.91,0.8,10.09,0.7,3,0.9,1
TXN_10149,ACC_225,8373.39,31,Utilities,International_HighRisk,13,0,0,1208,7115.6,0.46,11.92,0.79,1,0.91,1
TXN_10150,ACC_714,50.79,8,Grocery,Domestic,16,0,1,473,3079.66,0.49,10.57,0.52,0,0.06,0
TXN_10151,ACC_669,37.6,7,Utilities,International_LowRisk,18,0,1,3173,6891.69,0.47,7.43,0.11,0,0.12,0
TXN_10152,ACC_728,111.94,5,Electronics,Domestic,19,0,0,1149,4543.25,0.22,4.14,0.51,0,0.26,0
TXN_10153,ACC_416,1015.23,26,Gambling,Domestic,5,1,0,1671,9830.95,0.69,6.19,0.94,6,0.95,1
TXN_10154,ACC_171,309.99,4,Grocery,International_LowRisk,0,1,1,1888,8528.74,0.33,4.59,0.29,0,0.17,0
TXN_10155,ACC_478,36.82,1,Grocery,Domestic,18,0,0,3120,5276.96,0.36,7.61,0.14,0,0.3,0
TXN_10156,ACC_790,67.75,8,Grocery,Domestic,13,0,0,912,3686.68,0.35,9.95,0.25,0,0.29,0
TXN_10157,ACC_216,145.76,8,Grocery,Domestic,21,0,0,1293,5348.72,0.23,10.2,0.47,0,0.38,0
TXN_10158,ACC_504,124.01,4,Travel,Domestic,6,0,0,3160,6744.02,0.19,4.94,0.49,0,0.14,0
TXN_10159,ACC_435,171.32,7,Grocery,Domestic,13,0,1,972,7915.5,0.3,13.99,0.44,0,0.2,0
TXN_10160,ACC_953,157.37,1,Electronics,Domestic,12,0,0,1913,5375.07,0.28,5.14,0.4,0,0.12,0
TXN_10161,ACC_982,314.12,7,Grocery,Domestic,12,0,0,1689,6855.4,0.31,14.91,0.58,0,0.06,0
TXN_10162,ACC_432,173.11,6,Grocery,Online_Unverified,14,0,0,3489,3829.31,0.39,14.61,0.43,0,0.32,0
TXN_10163,ACC_546,49.47,6,Electronics,Domestic,12,0,0,3221,7359.24,0.5,6.26,0.21,0,0.2,0
TXN_10164,ACC_622,115.7,6,Electronics,Domestic,6,0,0,3384,6915.38,0.39,7.72,0.12,0,0.37,0
TXN_10165,ACC_251,324.87,3,Grocery,Domestic,6,0,1,2714,6556.64,0.32,7.99,0.57,0,0.39,0
TXN_10166,ACC_891,226.87,8,Electronics,Domestic,18,0,0,3642,6559.51,0.23,5.51,0.4,0,0.02,0
TXN_10167,ACC_750,24.61,8,Travel,Domestic,20,0,0,1841,6126.26,0.4,10.74,0.27,0,0.28,0
TXN_10168,ACC_915,202.69,8,Grocery,Domestic,16,0,1,263,5620.54,0.46,11.7,0.41,0,0.13,0
TXN_10169,ACC_393,1428.25,24,Grocery,International_HighRisk,2,1,0,1925,6664.57,0.46,15.74,0.94,4,0.61,1
TXN_10170,ACC_694,207.4,4,Electronics,International_LowRisk,1,1,0,1978,8630.96,0.42,9.02,0.28,0,0.4,0
TXN_10171,ACC_163,2787.91,10,Utilities,International_HighRisk,10,0,0,2676,5608.99,0.84,9.27,0.94,5,0.84,1
TXN_10172,ACC_276,175.54,3,Grocery,International_LowRisk,14,0,0,1188,9406.77,0.27,7.59,0.16,0,0.1,0
TXN_10173,ACC_893,57.17,2,Grocery,Domestic,20,0,0,2315,6430.63,0.16,8.8,0.12,0,0.1,0
TXN_10174,ACC_390,4484.16,18,Grocery,International_HighRisk,19,0,0,2416,6968.43,0.76,5.12,0.96,1,0.69,1
TXN_10175,ACC_779,79.87,7,Grocery,Domestic,20,0,0,2933,4254.56,0.31,16.39,0.57,0,0.35,0
TXN_10176,ACC_417,46.62,2,Electronics,International_LowRisk,10,0,0,1764,7264.82,0.36,10.41,0.42,0,0.38,0
TXN_10177,ACC_118,46.47,8,Utilities,Domestic,6,0,0,593,5225.23,0.22,4.72,0.21,0,0.08,0
TXN_10178,ACC_402,12669.79,24,Crypto_Exchange,Domestic,17,0,0,2741,8878.03,0.85,6.17,0.96,1,0.94,1
TXN_10179,ACC_444,2266.04,13,Wire_Transfer,International_LowRisk,19,0,0,3435,5395.55,0.51,6.8,0.88,2,0.9,1
TXN_10180,ACC_809,3194.91,9,Luxury_Goods,International_HighRisk,5,1,0,1522,7765.86,0.49,14.97,0.84,4,0.83,1
TXN_10181,ACC_792,52.04,8,Luxury_Goods,Online_Unverified,19,0,0,1009,7071.73,0.48,12.19,0.54,0,0.06,0
TXN_10182,ACC_928,111.05,8,Luxury_Goods,Online_Unverified,6,0,0,1184,7168.91,0.28,7.25,0.3,0,0.04,0
TXN_10183,ACC_614,169.23,3,Utilities,Online_Unverified,6,0,0,243,5464.78,0.23,14.64,0.14,1,0.2,0
TXN_10184,ACC_995,97.02,2,Utilities,Online_Unverified,22,0,0,3155,6947.58,0.44,8.35,0.4,0,0.2,0
TXN_10185,ACC_560,4466.39,15,Gambling,Domestic,13,0,1,1461,7681.31,0.8,14.63,0.74,4,0.82,1
TXN_10186,ACC_127,257.35,2,Utilities,Domestic,11,0,1,145,8717.41,0.39,12.5,0.52,0,0.29,0
TXN_10187,ACC_201,3873.78,17,Crypto_Exchange,International_LowRisk,4,1,1,2881,6165.76,0.8,8.19,0.7,4,0.89,1
TXN_10188,ACC_951,178.28,2,Grocery,International_LowRisk,14,0,0,913,6793.43,0.44,10.34,0.51,0,0.07,0
TXN_10189,ACC_661,522.42,17,Gambling,International_LowRisk,13,0,1,1263,3780.29,0.84,11.93,0.85,2,0.71,1
TXN_10190,ACC_344,108.18,8,Utilities,International_LowRisk,14,0,1,97,7992.51,0.42,10.77,0.15,0,0.31,0
TXN_10191,ACC_688,410.59,6,Grocery,Domestic,13,0,1,1736,5607.13,0.48,7.76,0.42,0,0.14,0
TXN_10192,ACC_784,162.79,1,Grocery,Online_Unverified,2,1,0,1955,6888.18,0.27,11.76,0.39,0,0.04,0
TXN_10193,ACC_496,20.62,2,Travel,Domestic,0,1,0,3032,5382.16,0.49,13.48,0.59,0,0.35,0
TXN_10194,ACC_206,17.99,6,Luxury_Goods,International_LowRisk,10,0,1,3362,7254.42,0.32,13.63,0.26,0,0.02,0
TXN_10195,ACC_950,152.97,3,Luxury_Goods,Domestic,22,0,0,288,3603.97,0.5,6.05,0.24,0,0.18,0
TXN_10196,ACC_568,205.06,6,Grocery,Domestic,6,0,0,2141,2102.39,0.18,12.51,0.21,1,0.28,0
TXN_10197,ACC_934,142.54,6,Utilities,Domestic,20,0,1,225,7800.4,0.2,9.25,0.58,1,0.12,0
TXN_10198,ACC_439,137.11,8,Grocery,International_LowRisk,13,0,0,1613,6301.65,0.49,9.12,0.24,1,0.17,0
TXN_10199,ACC_291,284.43,2,Utilities,Domestic,16,0,1,353,3996.92,0.16,14.8,0.21,0,0.1,0
TXN_10200,ACC_942,91.91,5,Grocery,Domestic,3,1,1,2498,9387.53,0.45,13.71,0.19,0,0.39,0
TXN_10201,ACC_270,191.84,6,Electronics,Domestic,1,1,0,1811,6893.04,0.37,13.96,0.48,0,0.34,0
TXN_10202,ACC_910,2799.0,24,Gambling,Domestic,20,0,0,2812,7918.01,0.72,9.38,0.69,6,0.65,1
TXN_10203,ACC_263,41.86,8,Travel,Domestic,19,0,0,305,8181.29,0.35,7.88,0.13,0,0.2,0
TXN_10204,ACC_760,87.88,3,Utilities,Domestic,18,0,1,1549,5194.75,0.29,10.0,0.14,0,0.01,0
TXN_10205,ACC_881,124.96,5,Grocery,Domestic,11,0,0,494,4566.05,0.45,7.03,0.45,0,0.12,0
TXN_10206,ACC_290,533.06,5,Utilities,Domestic,17,0,1,908,6404.58,0.37,12.78,0.35,0,0.07,0
TXN_10207,ACC_392,113.42,2,Electronics,Online_Unverified,6,0,1,2951,6005.65,0.33,4.42,0.26,0,0.01,0
TXN_10208,ACC_189,786.43,30,Crypto_Exchange,Online_Unverified,10,0,0,2282,5136.03,0.68,12.62,0.69,1,0.75,1
TXN_10209,ACC_655,208.49,3,Grocery,Domestic,5,1,0,2113,9298.71,0.19,4.39,0.18,0,0.09,0
TXN_10210,ACC_305,345.26,6,Luxury_Goods,Domestic,15,0,1,2289,8349.27,0.4,14.89,0.37,0,0.03,0
TXN_10211,ACC_188,165.25,7,Grocery,Domestic,22,0,0,3402,9134.79,0.44,9.65,0.27,0,0.32,0
TXN_10212,ACC_228,138.8,6,Travel,International_LowRisk,14,0,0,3425,6895.2,0.18,4.75,0.47,0,0.22,0
